case_id,archetype,strategy,intensity,scenario_id,domain,pass_predictions,conditional_predictions,parent_model_routes
POC1_AUTOMOTIVE,RO-A1,ENERGY,MODERATE,ASCA-RO-A1-ENERGY-L050-C831B1,INSIDE_VALIDATED_DOMAIN,10,5,2
POC2_CABLE_DIGITAL,RO-A2,DIGITAL,MODERATE,ASCA-RO-A2-DIGITAL-L050-6B47D3,INSIDE_VALIDATED_DOMAIN,10,5,2
POC3_CONSTRUCTION_ENERGY,RO-A8,ENERGY,MODERATE,ASCA-RO-A8-ENERGY-L050-C0E2D3,INSIDE_VALIDATED_DOMAIN,10,5,2
POC4_BOUNDARY_CONTROL,RO-A1,ENERGY,MODERATE,ASCA-RO-A1-ENERGY-L050-15B796,OUTSIDE_FINITE_TRAINING_ENVELOPE,0,0,17
