archetype,archetype_name,VSM_priority,WSM_winner,WSM_score,TOPSIS_winner,TOPSIS_score,WSM_TOPSIS_agree,VSM_WSM_agree,VSM_TOPSIS_agree
RO-A1,Automotive component supplier,INTEGRATED,INTEGRATED,61.44423861777116,INTEGRATED,89.43217605453714,True,True,True
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,INTEGRATED,INTEGRATED,61.66191169745177,INTEGRATED,89.58066731011466,True,True,True
RO-A3,Fabricated metal products and machining SME,INTEGRATED,INTEGRATED,61.50996173548819,INTEGRATED,89.45850196943267,True,True,True
RO-A4,Industrial machinery and equipment manufacturer,INTEGRATED,INTEGRATED,61.434157781714944,INTEGRATED,89.49083024600296,True,True,True
RO-A5,Food-processing company,INTEGRATED,INTEGRATED,61.49415239789338,INTEGRATED,89.37506431517093,True,True,True
RO-A6,Wood-products and furniture manufacturer,INTEGRATED,INTEGRATED,61.5189949326144,INTEGRATED,89.45977265483887,True,True,True
RO-A7,Rubber and plastics processor,INTEGRATED,INTEGRATED,61.61072991214476,INTEGRATED,89.51647042218721,True,True,True
RO-A8,Non-metallic mineral/construction-material producer,INTEGRATED,INTEGRATED,61.45735847859217,INTEGRATED,89.2692149362279,True,True,True
