mode,archetype,strategy,Environmental,Economic,Social,Technological,WSM,WSM_rank,TOPSIS,TOPSIS_rank
FULL_BRIDGES,RO-A1,ENERGY,60.21407761250382,49.59892692841108,63.82433760143465,51.21395757762428,56.21282492999346,3,46.251709769607885,2
FULL_BRIDGES,RO-A1,MAINT,50.93050017255933,51.66545224459789,64.5099257561428,52.125913434840605,54.80794790203515,5,23.315907215377308,5
FULL_BRIDGES,RO-A1,CIRCULAR,54.09594560209679,47.51991845298346,63.825791701662645,51.23242234242428,54.1685195247918,6,22.79145948927191,6
FULL_BRIDGES,RO-A1,DIGITAL,49.98213597774125,50.13851466591268,63.89909960143465,61.51841833115646,56.38454214406126,2,42.43313672837975,3
FULL_BRIDGES,RO-A1,SOCIAL,49.32760643849435,48.36448634222517,70.85839798488199,51.22318996002428,54.94342018140645,4,24.75743692448566,4
FULL_BRIDGES,RO-A1,INTEGRATED,62.7972363272553,53.661439167521394,69.67123608022227,59.647042896085665,61.44423861777116,1,89.43217605453714,1
FULL_BRIDGES,RO-A2,ENERGY,60.838456761633815,49.70676928560044,63.84451561274076,51.6328411406855,56.505645700165125,2,47.76139104784413,2
FULL_BRIDGES,RO-A2,MAINT,50.96961362805933,51.752047350752704,64.52913840070805,52.51482136581816,54.941405186334556,5,22.96363108622789,5
FULL_BRIDGES,RO-A2,CIRCULAR,54.149700044890125,47.6253298638391,63.84573503223575,51.6483258326855,54.31727269341262,6,22.661526692661145,6
FULL_BRIDGES,RO-A2,DIGITAL,50.03042419440792,50.218695640580336,63.917305612740755,61.82662842482993,56.49826346813973,3,41.486932452309055,3
FULL_BRIDGES,RO-A2,SOCIAL,49.37396312649435,48.468958934234195,70.87845865582159,51.6405834866855,55.09049105080891,4,24.583243391550877,4
FULL_BRIDGES,RO-A2,INTEGRATED,63.27094686067799,53.73066582733771,69.6889470506481,59.95708705114331,61.66191169745177,1,89.58066731011466,1
FULL_BRIDGES,RO-A3,ENERGY,60.3332913563963,49.68990395143362,63.841316233119784,51.312518415991626,56.294257489235335,3,46.55572866043388,2
FULL_BRIDGES,RO-A3,MAINT,50.939703338559326,51.75165955347886,64.52667724271245,52.217421183305916,54.85886532951414,5,23.229201962691793,5
FULL_BRIDGES,RO-A3,CIRCULAR,54.10859370628346,47.610595769786045,63.84271511435178,51.330281987191626,54.223046644403226,6,22.78016268239188,6
FULL_BRIDGES,RO-A3,DIGITAL,49.99349791107458,50.22337101198106,63.91561423311978,61.590938353197274,56.43085537734317,2,42.23672413825179,3
FULL_BRIDGES,RO-A3,SOCIAL,49.338513894494355,48.45473596455011,70.87534900706912,51.32140020159163,54.9974997669263,4,24.729470029982046,4
FULL_BRIDGES,RO-A3,INTEGRATED,62.88798377168291,53.74423447658797,69.68763423170029,59.719994461981585,61.50996173548819,1,89.45850196943267,1
FULL_BRIDGES,RO-A4,ENERGY,60.40488010843571,49.581315856816225,63.821031784991426,50.967555481705915,56.19369580798732,3,46.54403133678323,2
FULL_BRIDGES,RO-A4,MAINT,50.907492257559326,51.66081215067591,64.50718780248835,51.897144063677345,54.743159068600235,5,23.200419748502714,5
FULL_BRIDGES,RO-A4,CIRCULAR,54.06432534163012,47.50358801308226,63.82262393270943,50.98777323050591,54.09457762948193,6,22.58237467368947,6
FULL_BRIDGES,RO-A4,DIGITAL,49.95373114440791,50.137193383710596,63.89695378499143,61.33711827605441,56.33124914729109,2,42.44290044461142,3
FULL_BRIDGES,RO-A4,SOCIAL,49.300337798494354,48.34899494372824,70.85516119218377,50.97766435610591,54.87053957262807,4,24.56802172170974,4
FULL_BRIDGES,RO-A4,INTEGRATED,62.935929579905256,53.66665610131177,69.66938146429686,59.46466398134587,61.434157781714944,1,89.49083024600296,1
FULL_BRIDGES,RO-A5,ENERGY,60.04801061207269,49.67483774218744,63.838392546652905,51.558920511909996,56.280040353205756,3,46.04414298832102,2
FULL_BRIDGES,RO-A5,MAINT,50.962711253559334,51.72356951927249,64.52318569345682,52.44619055446918,54.913914255189454,5,23.398179214893002,5
FULL_BRIDGES,RO-A5,CIRCULAR,54.140213966750125,47.59669094831649,63.8396533803949,51.574931099109996,54.28787234864288,6,23.036447477950535,6
FULL_BRIDGES,RO-A5,DIGITAL,50.02190274440791,50.19394880582385,63.9115305466529,61.77223840829931,56.474905126295994,2,42.318899474401135,3
FULL_BRIDGES,RO-A5,SOCIAL,49.36578253449435,48.43707597486806,70.87235629685723,51.56692580550999,55.06053515293241,4,24.967811367895713,4
FULL_BRIDGES,RO-A5,INTEGRATED,62.678637817292326,53.712339052844214,69.6832593447156,59.90237337672138,61.49415239789338,1,89.37506431517096,1
FULL_BRIDGES,RO-A6,ENERGY,60.34749377306297,49.639755316005186,63.831874619856016,51.43571946395081,56.313710793218746,3,46.635856652898134,2
FULL_BRIDGES,RO-A6,MAINT,50.95120729605933,51.69490920148073,64.51695169805431,52.33180586888754,54.87371851612048,5,23.235207007448277,5
FULL_BRIDGES,RO-A6,CIRCULAR,54.12440383651679,47.56148812881046,63.833204477343024,51.452606543150814,54.24292574645527,6,22.82362641984774,6
FULL_BRIDGES,RO-A6,DIGITAL,50.00770032774125,50.16635397884277,63.905592619856016,61.681588380748295,56.44030882679708,2,42.121417958203025,3
